,Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
176,ZTS,202.57,573043452297,9
177,ZTS,71.73,9304181943,27
178,ZTS,32.59,46842809471,61
179,ZTS,236.94,60637043646,8
180,ZTS,42.58,24246386740,46
181,ZTS,175.41,10409260310,11
182,ZTS,102.41,63662124943,19
183,ZTS,113.4,70293719777,17
184,ZTS,38.49,25866671725,51
185,ZTS,59.42,7845987209,33
186,ZTS,36.02,4608584858,55
187,ZTS,233.62,17761856783,8
188,ZTS,113.62,14189293807,17
189,ZTS,34.0,20609532698,58
190,ZTS,36.8,20231467864,54
191,ZTS,169.2,30318600554,11
192,ZTS,115.9,9242977169,17
193,ZTS,9.43,4154666557,211
194,ZTS,55.56,43169932145,35
195,ZTS,71.51,24763380277,27
196,ZTS,240.94,67539337567,8
197,ZTS,81.2,88493959541,24
198,ZTS,65.29,80229333340,30
199,ZTS,78.0,46797961906,25
200,ZTS,105.53,10559956005,18
201,ZTS,37.61,31824803788,53
202,ZTS,39.74,60053162780,50
203,ZTS,126.44,83899286223,15
204,ZTS,125.62,85865359508,15
205,ZTS,159.8,22636770689,12
206,ZTS,141.97,37561525793,14
207,ZTS,10.89,4093314568,183
208,ZTS,103.24,19562187060,19
209,ZTS,364.65,125756602459,5
210,ZTS,598.44,30208935862,3
211,ZTS,30.86,27156458542,64
212,ZTS,82.7,11611361450,24
213,ZTS,14.82,21671492360,134
214,ZTS,11.04,3735806179,180
215,ZTS,224.35,65052974795,8
216,ZTS,329.71,335133029173,6
217,ZTS,115.44,35696295639,17
218,ZTS,71.45,22309036706,27
219,ZTS,240.6,9512172881,8
220,ZTS,143.05,38919545224,13
221,ZTS,74.96,18307424421,26
222,ZTS,201.7,137132039501,9
223,ZTS,15.3,20036430709,130
224,ZTS,36.09,35988833989,55
225,ZTS,46.87,7447993159,42
226,ZTS,51.75,27281296319,38
227,ZTS,80.16,11013627149,24
228,ZTS,20.42,14130693204,97
229,ZTS,231.59,48469275307,8
230,ZTS,514.25,63153355858,3
231,ZTS,39.4,16392741088,50
232,ZTS,140.71,122739781664,14
233,ZTS,113.82,63032472893,17
234,ZTS,416.09,34348159311,4
235,ZTS,218.1,16390961694,9
236,ZTS,129.02,33182082186,15
237,ZTS,212.411,32772401524,9
238,ZTS,76.76,16776422652,26
239,ZTS,112.4,47120696983,17
240,ZTS,37.64,150843953800,53
241,ZTS,499.49,134203880231,3
242,ZTS,44.63,16655501003,44
243,ZTS,31.59,11945151852,63
244,ZTS,108.44,5397415015,18
245,ZTS,254.32,47787495413,7
246,ZTS,53.8,21681418031,37
247,ZTS,56.0,16007265019,35
248,ZTS,247.66,85530295773,8
249,ZTS,313.2,24373544927,6
250,ZTS,224.61,68117298039,8
251,ZTS,19.53,8824105300,102
252,ZTS,136.0,17762760092,14
253,ZTS,199.48,20871717520,10
254,ZTS,59.81,41226699031,33
255,ZTS,211.74,15686847689,9
256,ZTS,170.4,449940164182,11
257,ZTS,30.06,9426093495,66
258,ZTS,124.27,373577305549,16
259,ZTS,77.68,26154385989,25
260,ZTS,19.72,18254609156,101
261,ZTS,170.7,31947764633,11
262,ZTS,38.79,47809408575,51
263,ZTS,24.35,14611849634,81
264,ZTS,395.4,54806337766,5
265,ZTS,141.42,47859289229,14
266,ZTS,19.46,43803276156,102
267,ZTS,101.96,16580313211,19
268,ZTS,66.5,286330985504,30
269,ZTS,47.41,34579140574,42
270,ZTS,33.61,4297928867,59
271,ZTS,302.1,27749144174,6
272,ZTS,60.45,14245832867,33
273,ZTS,82.92,22738162754,24
274,ZTS,104.63,14059797133,19
275,ZTS,41.67,5728318646,47
276,ZTS,89.81,25972636677,22
277,ZTS,269.32,24284619754,7
278,ZTS,245.76,47315533648,8
279,ZTS,319.04,160566250360,6
280,ZTS,57.95,15602820719,34
281,ZTS,316.61,301767937036,6
282,ZTS,435.0,118694107061,4
283,ZTS,51.3,9004444010,38
284,ZTS,66.42,15942921298,30
285,ZTS,214.82,136372338751,9
286,ZTS,530.81,75132248673,3
287,ZTS,40.47,23997443470,49
288,ZTS,40.58,30538788851,49
289,ZTS,82.1,11861095678,24
290,ZTS,96.05,31464434119,20
291,ZTS,99.81,23282729820,19
292,ZTS,356.31,353917923428,5
293,ZTS,195.48,22341272467,10
294,ZTS,171.61,55001955013,11
