,Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
158,ZTS,92.32,53107722545,N/A
159,ZTS,118.92,69071072484,N/A
160,ZTS,739.75,66033668512,N/A
161,ZTS,81.56,30309798474,N/A
162,ZTS,94.82,32819313547,N/A
163,ZTS,308.03,19382973683,N/A
164,ZTS,50.73,11259715995,N/A
165,ZTS,155.71,62443338704,N/A
166,ZTS,122.77,25013891429,N/A
167,ZTS,73.97,16369733093,N/A
168,ZTS,108.5,66940663934,N/A
169,ZTS,47.08,45620194116,N/A
170,ZTS,108.19,18102848161,N/A
171,ZTS,117.24,17795756598,N/A
172,ZTS,217.71,28825633883,N/A
173,ZTS,16.52,65245763605,N/A
174,ZTS,139.5,24214294186,N/A
175,ZTS,55.8,33069635298,N/A
176,ZTS,202.57,573043452297,N/A
177,ZTS,71.73,9304181943,N/A
178,ZTS,32.59,46842809471,N/A
179,ZTS,236.94,60637043646,N/A
180,ZTS,42.58,24246386740,N/A
181,ZTS,175.41,10409260310,N/A
182,ZTS,102.41,63662124943,N/A
183,ZTS,113.4,70293719777,N/A
184,ZTS,38.49,25866671725,N/A
185,ZTS,59.42,7845987209,N/A
186,ZTS,36.02,4608584858,N/A
187,ZTS,233.62,17761856783,N/A
188,ZTS,113.62,14189293807,N/A
189,ZTS,34.0,20609532698,N/A
190,ZTS,36.8,20231467864,N/A
191,ZTS,169.2,30318600554,N/A
192,ZTS,115.9,9242977169,N/A
193,ZTS,9.43,4154666557,N/A
194,ZTS,55.56,43169932145,N/A
195,ZTS,71.51,24763380277,N/A
196,ZTS,240.94,67539337567,N/A
197,ZTS,81.2,88493959541,N/A
198,ZTS,65.29,80229333340,N/A
199,ZTS,78.0,46797961906,N/A
200,ZTS,105.53,10559956005,N/A
201,ZTS,37.61,31824803788,N/A
202,ZTS,39.74,60053162780,N/A
203,ZTS,126.44,83899286223,N/A
204,ZTS,125.62,85865359508,N/A
205,ZTS,159.8,22636770689,N/A
206,ZTS,141.97,37561525793,N/A
207,ZTS,10.89,4093314568,N/A
208,ZTS,103.24,19562187060,N/A
209,ZTS,364.65,125756602459,N/A
210,ZTS,598.44,30208935862,N/A
211,ZTS,30.86,27156458542,N/A
212,ZTS,82.7,11611361450,N/A
213,ZTS,14.82,21671492360,N/A
214,ZTS,11.04,3735806179,N/A
215,ZTS,224.35,65052974795,N/A
216,ZTS,329.71,335133029173,N/A
217,ZTS,115.44,35696295639,N/A
218,ZTS,71.45,22309036706,N/A
219,ZTS,240.6,9512172881,N/A
220,ZTS,143.05,38919545224,N/A
221,ZTS,74.96,18307424421,N/A
222,ZTS,201.7,137132039501,N/A
223,ZTS,15.3,20036430709,N/A
224,ZTS,36.09,35988833989,N/A
225,ZTS,46.87,7447993159,N/A
226,ZTS,51.75,27281296319,N/A
227,ZTS,80.16,11013627149,N/A
228,ZTS,20.42,14130693204,N/A
229,ZTS,231.59,48469275307,N/A
230,ZTS,514.25,63153355858,N/A
231,ZTS,39.4,16392741088,N/A
232,ZTS,140.71,122739781664,N/A
233,ZTS,113.82,63032472893,N/A
234,ZTS,416.09,34348159311,N/A
235,ZTS,218.1,16390961694,N/A
236,ZTS,129.02,33182082186,N/A
237,ZTS,212.411,32772401524,N/A
238,ZTS,76.76,16776422652,N/A
239,ZTS,112.4,47120696983,N/A
240,ZTS,37.64,150843953800,N/A
241,ZTS,499.49,134203880231,N/A
242,ZTS,44.63,16655501003,N/A
243,ZTS,31.59,11945151852,N/A
244,ZTS,108.44,5397415015,N/A
245,ZTS,254.32,47787495413,N/A
246,ZTS,53.8,21681418031,N/A
247,ZTS,56.0,16007265019,N/A
248,ZTS,247.66,85530295773,N/A
249,ZTS,313.2,24373544927,N/A
250,ZTS,224.61,68117298039,N/A
251,ZTS,19.53,8824105300,N/A
252,ZTS,136.0,17762760092,N/A
253,ZTS,199.48,20871717520,N/A
254,ZTS,59.81,41226699031,N/A
255,ZTS,211.74,15686847689,N/A
256,ZTS,170.4,449940164182,N/A
257,ZTS,30.06,9426093495,N/A
258,ZTS,124.27,373577305549,N/A
259,ZTS,77.68,26154385989,N/A
260,ZTS,19.72,18254609156,N/A
261,ZTS,170.7,31947764633,N/A
262,ZTS,38.79,47809408575,N/A
263,ZTS,24.35,14611849634,N/A
264,ZTS,395.4,54806337766,N/A
265,ZTS,141.42,47859289229,N/A
266,ZTS,19.46,43803276156,N/A
267,ZTS,101.96,16580313211,N/A
268,ZTS,66.5,286330985504,N/A
269,ZTS,47.41,34579140574,N/A
270,ZTS,33.61,4297928867,N/A
271,ZTS,302.1,27749144174,N/A
272,ZTS,60.45,14245832867,N/A
273,ZTS,82.92,22738162754,N/A
274,ZTS,104.63,14059797133,N/A
275,ZTS,41.67,5728318646,N/A
276,ZTS,89.81,25972636677,N/A
277,ZTS,269.32,24284619754,N/A
278,ZTS,245.76,47315533648,N/A
279,ZTS,319.04,160566250360,N/A
280,ZTS,57.95,15602820719,N/A
281,ZTS,316.61,301767937036,N/A
282,ZTS,435.0,118694107061,N/A
283,ZTS,51.3,9004444010,N/A
284,ZTS,66.42,15942921298,N/A
285,ZTS,214.82,136372338751,N/A
286,ZTS,530.81,75132248673,N/A
287,ZTS,40.47,23997443470,N/A
288,ZTS,40.58,30538788851,N/A
289,ZTS,82.1,11861095678,N/A
290,ZTS,96.05,31464434119,N/A
291,ZTS,99.81,23282729820,N/A
292,ZTS,356.31,353917923428,N/A
293,ZTS,195.48,22341272467,N/A
294,ZTS,171.61,55001955013,N/A
295,ZTS,57.84,12744245052,N/A
296,ZTS,263.89,194376562696,N/A
297,ZTS,74.24,41945288821,N/A
298,ZTS,379.7,54856157888,N/A
299,ZTS,329.09,59765292788,N/A
300,ZTS,67.0,88361681866,N/A
301,ZTS,95.82,127676038034,N/A
302,ZTS,68.25,56485881060,N/A
303,ZTS,36.7,14259722276,N/A
304,ZTS,132.0,8160038160,N/A
305,ZTS,91.25,24919108878,N/A
306,ZTS,280.69,10574171985,N/A
307,ZTS,383.6,23527847295,N/A
308,ZTS,179.3,88892488167,N/A
309,ZTS,158.67,90207898378,N/A
310,ZTS,93.13,47473007063,N/A
311,ZTS,47.38,82008566414,N/A
312,ZTS,56.84,20819458941,N/A
313,ZTS,101.23,49248576924,N/A
314,ZTS,94.5,230746817863,N/A
315,ZTS,24.87,17833291497,N/A
316,ZTS,94.26,160631629996,N/A
317,ZTS,530.76,42483562084,N/A
318,ZTS,292.44,2242740724782,N/A
319,ZTS,267.51,44469650856,N/A
320,ZTS,198.24,35379525869,N/A
321,ZTS,1416.6,31228115937,N/A
322,ZTS,65.59,73343740016,N/A
323,ZTS,105.25,27914664757,N/A
324,ZTS,16.027,8930518869,N/A
325,ZTS,8.52,4299312413,N/A
326,ZTS,14.27,3192511968,N/A
327,ZTS,194.82,18519636626,N/A
328,ZTS,90.86,183756348185,N/A
329,ZTS,47.66,38420217406,N/A
330,ZTS,259.9,112616202594,N/A
331,ZTS,31.72,12890735641,N/A
332,ZTS,120.35,189826011668,N/A
333,ZTS,24.56,13919579963,N/A
334,ZTS,27.74,10303793393,N/A
335,ZTS,486.11,76161438419,N/A
336,ZTS,18.75,7466618016,N/A
337,ZTS,518.78,106041684616,N/A
338,ZTS,43.68,9946207857,N/A
339,ZTS,271.61,66683766679,N/A
340,ZTS,77.55,17070492208,N/A
341,ZTS,107.16,22307031723,N/A
342,ZTS,144.76,38503236827,N/A
343,ZTS,196.26,482091989214,N/A
344,ZTS,4532.77,14833874047,N/A
345,ZTS,21.63,9101067439,N/A
346,ZTS,19.72,11536037595,N/A
347,ZTS,19.04,11422889433,N/A
348,ZTS,75.64,45623021792,N/A
349,ZTS,323.25,36008165605,N/A
350,ZTS,64.73,29793631900,N/A
351,ZTS,74.11,15482896182,N/A
352,ZTS,82.76,218073723730,N/A
353,ZTS,754.63,47297598296,N/A
354,ZTS,85.6,35468931311,N/A
355,ZTS,66.65,63289578993,N/A
356,ZTS,395.01,24535748414,N/A
357,ZTS,140.78,49298944409,N/A
358,ZTS,20.28,8736657746,N/A
359,ZTS,95.61,33704731856,N/A
360,ZTS,28.76,15942799479,N/A
361,ZTS,67.81,34492381617,N/A
362,ZTS,179.77,246638473611,N/A
363,ZTS,51.97,290623542741,N/A
364,ZTS,80.68,19988233857,N/A
365,ZTS,149.12,353544784136,N/A
366,ZTS,125.3,73655993849,N/A
367,ZTS,312.0,41047390979,N/A
368,ZTS,46.41,10755115679,N/A
369,ZTS,144.92,13712506310,N/A
370,ZTS,163.87,20032284087,N/A
371,ZTS,142.86,105522873167,N/A
372,ZTS,102.67,158894145043,N/A
373,ZTS,181.25,73624145681,N/A
374,ZTS,51.18,8715909747,N/A
375,ZTS,77.87,9084505439,N/A
376,ZTS,137.49,33011352613,N/A
377,ZTS,30.4,22605665738,N/A
378,ZTS,42.02,5756751779,N/A
379,ZTS,105.99,40740218848,N/A
380,ZTS,360.6,61989738279,N/A
381,ZTS,90.0,44354276525,N/A
382,ZTS,72.25,4776009738,N/A
383,ZTS,144.98,21282420510,N/A
384,ZTS,244.06,59108550632,N/A
385,ZTS,101.3,118291769573,N/A
386,ZTS,153.96,173991839192,N/A
387,ZTS,115.24,11861608102,N/A
388,ZTS,43.97,11282239718,N/A
389,ZTS,278.5,11201151627,N/A
390,ZTS,66.6,11458552497,N/A
391,ZTS,641.48,69584049292,N/A
392,ZTS,23.52,21706562350,N/A
393,ZTS,86.21,9239526431,N/A
394,ZTS,111.56,24555872461,N/A
395,ZTS,100.3,7260784980,N/A
396,ZTS,249.33,36082126321,N/A
397,ZTS,266.56,31023928859,N/A
398,ZTS,38.02,18807472196,N/A
399,ZTS,452.9,48010657080,N/A
400,ZTS,92.06,32989227208,N/A
401,ZTS,146.63,47938246049,N/A
402,ZTS,96.08,143309476704,N/A
403,ZTS,356.66,39158041165,N/A
404,ZTS,88.41,105162778065,N/A
405,ZTS,78.0,141925824794,N/A
406,ZTS,61.24,8703448153,N/A
407,ZTS,254.38,68108312468,N/A
408,ZTS,478.34,27817396781,N/A
409,ZTS,136.52,14975081118,N/A
410,ZTS,37.79,54579517765,N/A
411,ZTS,52.91,3281578271,N/A
412,ZTS,237.24,12843676511,N/A
413,ZTS,393.37,59269170936,N/A
414,ZTS,79.96,84479073577,N/A
415,ZTS,119.5,39220852076,N/A
416,ZTS,395.37,137154203977,N/A
417,ZTS,169.76,52947172690,N/A
418,ZTS,218.8,21992532359,N/A
419,ZTS,77.38,28095518338,N/A
420,ZTS,84.77,18071859849,N/A
421,ZTS,252.64,46320556099,N/A
422,ZTS,101.85,15079460731,N/A
423,ZTS,118.37,18250916950,N/A
424,ZTS,37.33,18008301520,N/A
425,ZTS,233.13,87101382901,N/A
426,ZTS,86.37,45320079483,N/A
427,ZTS,19.03,130509123610,N/A
428,ZTS,59.26,12696425979,N/A
429,ZTS,682.2,37613756885,N/A
430,ZTS,403.4,19116313310,N/A
431,ZTS,141.15,44794673427,N/A
432,ZTS,53.15,69718513932,N/A
433,ZTS,259.12,12153664459,N/A
434,ZTS,179.54,83068868542,N/A
435,ZTS,137.62,16004465280,N/A
